1984, George Orwell
Pride and Prejudice, Jane Austen
To Kill a Mockingbird, Harper Lee
The Great Gatsby, F. Scott Fitzgerald
The Canterbury Tales, Geoffrey Chauce
Jane Eyre, Charlotte Brontë
Brave New World, Aldous Huxley
The Lord of the Rings, J.R.R. Tolkien
Crime and Punishment, Fyodor Dostoevsky
Wuthering Heights, Emily Brontë
Of Mice and Men, John Steinbeck
Great Expectations, Charles Dickens
The Catcher in the Rye, J.D. Salinger
The Metamorphosis, Franz Kafka
Frankenstein, Mary Shelley
The Alchemist, Paulo Coelho
Dracula, Bram Stoker
The Brothers Karamazov, Fyodor Dostoevsky
Life of Pi, Yann Martel
The Picture of Dorian Gray, Oscar Wilde
The Count of Monte Cristo, Alexandre Dumas
The Stranger, Albert Camus
Sense and Sensibility, Jane Austen
It, Stephin King
The Scarlet Letter, Nathaniel Hawthorne
The Book Thief, Markus Zusak
